SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,DT_NASCIMENTO,PROFISSAO,DESC_CIDADE,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,ANO LETIVO IC,ANO LETIVO BOLSA,NOTA,N_FALTAS,COD_DISICIPLINA,ANO_INGRESSSO
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,7.30,,8555.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,7.30,,8555.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,6.30,,648.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,6.30,,648.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,9.30,,9108.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,9.30,,9108.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,8.30,,9109.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,8.30,,9109.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,7.00,,7588.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,7.00,,7588.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,6.50,,8595.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,6.50,,8595.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,8.80,,8562.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,8.80,,8562.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Inglês,3.0,3.0,3.0,3.0,,,04/10/2016,4.0,9111.0,2011
9,0.0,0.0,,O,2007.0,,,,M,1988-11-26 00:00:00.000,Manipulador de Fotografia,Alto Paraíso de Goiás,Espanhol,2.0,2.0,2.0,2.0,,,04/10/2016,4.0,9111.0,2011
