SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,INGLES_FALA,INGLES_COMPREENSAO,INGLES_ESCRITA,INGLES_LEITURA,NOTA,N_FALTAS,ANO_INGRESSSO,IDADE_INGRESSO,APROVADO
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.3,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,6.3,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,9.3,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.3,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.0,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,6.5,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.8,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.7,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.2,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.8,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.9,6.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,6.0,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,5.9,0.0,2011,23.0,0.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,9.4,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.2,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.9,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,9.0,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,4.5,4.0,2011,23.0,0.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,9.3,6.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,9.5,2.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,8.5,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.0,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.7,0.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,7.2,6.0,2011,23.0,1.0
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,6.0,10.0,2011,23.0,1.0
